split,game,side,team,fb,fbtime,fd,fdtime,ft,fttime,cspm,goldat10,goldat15,result
summer,2,Red,BBQ Olivers,0,7.406083333,0,10.91533333,0,16.68908333,30.9746013,14.069,21.941,0
summer,1,Blue,Afreeca Freecs,0,10.0604,1,15.58975,1,15.6332,34.0901312,14.973,23.057,1
summer,1,Red,MVP,1,10.0604,0,15.58975,0,15.6332,32.72104963,14.306,22.751,0
summer,2,Blue,MVP,0,5.433683333,1,10.99703333,1,9.326983333,32.09362809,15.822,24.491,0
summer,2,Red,Afreeca Freecs,1,5.433683333,0,10.99703333,0,9.326983333,33.21196359,14.743,22.321,1
summer,1,Blue,Ever8 Winners,0,6.250333333,0,14.56506667,0,13.68596667,31.43206854,14.289,22.267,0
summer,1,Red,KT Rolster,1,6.250333333,1,14.56506667,1,13.68596667,33.39045288,14.739,22.832,1
summer,2,Blue,KT Rolster,1,6.24595,1,8.72435,1,8.72875,32.83205269,16.317,24.611,1
summer,2,Red,Ever8 Winners,0,6.24595,0,8.72435,0,8.72875,29.80241493,13.603,21.589,0
summer,1,Blue,ROX Tigers,0,10.1646,1,10.11125,1,8.604,32.37149947,15.496,23.85,0
summer,1,Red,SK Telecom T1,1,10.1646,0,10.11125,0,8.604,33.86033322,14.703,23.418,1
summer,2,Blue,SK Telecom T1,1,6.255566667,1,11.35668333,1,6.687333333,33.74247894,15.965,25.841,1
summer,2,Red,ROX Tigers,0,6.255566667,0,11.35668333,0,6.687333333,32.82791817,14.524,22.955,0
summer,1,Blue,ROX Tigers,0,4.817016667,0,13.1661,0,9.624283333,31.48878314,15.571,23.43,1
summer,1,Red,MVP,1,4.817016667,1,13.1661,1,9.624283333,35.99592114,15.819,23.937,0
summer,2,Blue,MVP,1,7.721983333,1,14.33101667,1,12.05615,34.64015152,15.108,25.907,0
summer,2,Red,ROX Tigers,0,7.721983333,0,14.33101667,0,12.05615,33.14393939,15.042,23.895,1
summer,1,Blue,BBQ Olivers,0,8.999516667,0,14.62713333,0,18.97841667,32.06954571,14.583,22.571,0
summer,1,Red,KT Rolster,1,8.999516667,1,14.62713333,1,18.97841667,35.73752103,14.954,23.621,1
summer,2,Blue,KT Rolster,0,11.51763333,1,9.954866667,1,14.20775,34.48782373,14.311,23.227,1
summer,2,Red,BBQ Olivers,1,11.51763333,0,9.954866667,0,14.20775,34.53420951,14.513,23.412,0
summer,1,Blue,Samsung Galaxy,1,9.157083333,1,14.38936667,1,16.52808333,38.18181818,15.254,23.669,1
summer,1,Red,Jin Air Green Wings,0,9.157083333,0,14.38936667,0,16.52808333,31.97368421,14.79,22.304,0
summer,2,Blue,Jin Air Green Wings,0,4.7137,0,10.33548333,1,11.13145,32.29673591,15.076,25.846,1
summer,2,Red,Samsung Galaxy,1,4.7137,1,10.33548333,0,11.13145,30.94362018,14.357,22.001,0
